T,X,X_tochne,delta_X,Y,Y_tochne,delta_Y
0.2607392607392599,0.3542443436069394,0.6489446053190383,0.2947002617120989,0.35394305636771034,0.6489446053190383,0.29500154895132796
0.2617382617382609,0.35338163255841454,0.649593225560239,0.2962115930018245,0.3535769456623476,0.649593225560239,0.2960162798978914
0.26273726273726195,0.3529391083617524,0.650242494097479,0.2973033857357266,0.3527898800769842,0.650242494097479,0.29745261402049483
0.26373626373626297,0.35219333210470666,0.6508924115787302,0.2986990794740236,0.3523052992907441,0.6508924115787302,0.2985871122879861
0.264735264735264,0.3515028887864967,0.6515429786526122,0.3000400898661155,0.3517646190705201,0.6515429786526122,0.29977835958209215
0.265734265734265,0.3511026422209609,0.6521941959683931,0.30109155374743224,0.3509329763678209,0.6521941959683931,0.3012612196005722
0.26673326673326603,0.3503366657006184,0.6528460641759896,0.30250939847537117,0.35046629865471013,0.6528460641759896,0.30237976552127943
0.26773226773226705,0.34963316881557754,0.6534985839259683,0.3038654151103907,0.3499363771048989,0.6534985839259683,0.3035622068210694
0.26873126873126807,0.3492659612476088,0.6541517558695459,0.3048857946219371,0.3490694027996736,0.6541517558695459,0.3050823530698723
0.2697302697302691,0.3484751198563011,0.65480558065859,0.3063304608022889,0.34862529964174,0.65480558065859,0.30618028101684996
0.2707292707292701,0.3479886970694769,0.6554600589456197,0.30747136187614277,0.3478760159648094,0.6554600589456197,0.30758404298081027
0.27172827172827113,0.3474458222650802,0.6561151913838064,0.30866936911872617,0.347182423151711,0.6561151913838064,0.30893276823209537
0.27272727272727215,0.34661013486946457,0.6567709786269743,0.31016084375750974,0.346780882536105,0.6567709786269743,0.3099900960908693
0.2737262737262732,0.3461417446360182,0.6574274213296011,0.31128567669358287,0.3460112851238579,0.6574274213296011,0.31141613620574315
0.2747252747252742,0.3456097124132548,0.6580845201468185,0.31247480773356373,0.34530457082495275,0.6580845201468185,0.31277994932186576
0.2757242757242752,0.3447384834329376,0.6587422757344134,0.31400379230147574,0.34493629516536545,0.6587422757344134,0.3138059805690479
0.27672327672327623,0.34429282697507935,0.6594006887488276,0.3151078617737483,0.3441416896220662,0.6594006887488276,0.3152589991267614
0.27772227772227726,0.34354004920780884,0.6600597598471596,0.31651971063935075,0.3436534487831529,0.6600597598471596,0.3164063110640067
0.2787212787212783,0.34284332247590793,0.6607194896871642,0.3178761672112563,0.3431084010593155,0.6607194896871642,0.3176110886278487
0.2797202797202793,0.3424405151812924,0.6613798789272538,0.3189393637459614,0.3422686788033555,0.6613798789272538,0.3191112001238983
0.2807192807192803,0.3416673093763596,0.6620409282264991,0.3203736188501395,0.34179860071683954,0.6620409282264991,0.32024232750965953
0.28171828171828134,0.34095739269990893,0.6627026382446292,0.3217452455447202,0.34126447991417913,0.6627026382446292,0.32143815833045003
0.28271728271728236,0.3405880776539065,0.6633650096420326,0.3227769319881261,0.34038900464586713,0.6633650096420326,0.32297600499616547
0.2837162837162834,0.3397897194378949,0.6640280430797582,0.3242383236418633,0.33994182046406846,0.6640280430797582,0.3240862226156897
0.2847152847152844,0.3392996843993528,0.6646917392195153,0.3253920548201625,0.3391855617722615,0.6646917392195153,0.3255061774472538
0.2857142857142854,0.3387524853104591,0.6653560987236747,0.32660361341321564,0.33848571654847454,0.6653560987236747,0.3268703821752002
0.28671328671328644,0.3379087378411843,0.6660211222552694,0.32811238441408513,0.3380816698721951,0.6660211222552694,0.3279394523830743
0.28771228771228746,0.337436996478158,0.6666868104779947,0.3292498139998367,0.33730486800550336,0.6666868104779947,0.32938194247249136
0.2887112887112885,0.33690080908178316,0.6673531640562097,0.33045235497442654,0.3365917638359585,0.6673531640562097,0.3307614002202512
0.2897102897102895,0.33602109571855643,0.6680201836549371,0.33199908793638067,0.3362214380442792,0.6680201836549371,0.3317987456106579
0.2907092907092905,0.3355724093046314,0.6686878699398646,0.33311546063523323,0.33541933846078104,0.6686878699398646,0.3332685314790836
0.29170829170829154,0.3348126826910386,0.6693562235773453,0.33454354088630667,0.33492753298015737,0.6693562235773453,0.3344286905971879
0.29270729270729257,0.3341097342538931,0.670025245234398,0.33591551098050487,0.33437820397127244,0.670025245234398,0.33564704126312556
0.2937062937062936,0.3337044754208402,0.6706949355787085,0.3369904601578683,0.33353044075071636,0.6706949355787085,0.33716449482799216
0.2947052947052946,0.3329240896556793,0.6713652952786298,0.33844120562295044,0.3330570605981819,0.6713652952786298,0.33830823468044785
0.2957042957042956,0.3322078127263819,0.6720363250031828,0.3398285122768009,0.3325188284884477,0.6720363250031828,0.33951749651473506
0.29670329670329665,0.3318365047666126,0.6727080254220574,0.34087152065544485,0.3316348850298572,0.6727080254220574,0.3410731403922002
0.29770229770229767,0.3310306749474135,0.6733803972056127,0.3423497222581992,0.3311847217926357,0.6733803972056127,0.342195675412977
0.2987012987012987,0.33053712268845875,0.6740534410248779,0.3435163183364191,0.3304215400976363,0.6740534410248779,0.34363190092724155
0.2997002997002997,0.32998568509635096,0.6747271575515524,0.3447414724552015,0.3297155035780442,0.6747271575515524,0.34501165397350825
0.30069930069930073,0.32913391540208925,0.6754015474580077,0.3462676320559185,0.32930905974190927,0.6754015474580077,0.34609248771609846
0.30169830169830175,0.3286589208586372,0.676076611417287,0.34741769055864985,0.32852510207457924,0.676076611417287,0.3475515093427078
