θ,v(θ),u(θ)
3.204424506661589,1.8337640969383586,11.688679552670722
3.2358404331974873,2.660207994898582,11.321934968214133
3.267256359733385,3.39057310911566,10.846208445489234
3.298672286269283,4.010318876998607,10.291316323051465
3.330088212805181,4.514718355199661,9.68702428649361
3.3615041393410787,4.907088181860904,9.0600204406751
3.392920065876977,5.196377684288872,8.4321877547554
3.4243359924128747,5.394778074153291,7.820055201062151
3.455751918948773,5.5157510829286736,7.2350864480213
3.4871678454846706,5.572621717341822,6.684432503313326
3.518583772020569,5.577707532712958,6.171849791558389
3.5499996985564666,5.54187428521644,5.698591913925159
3.5814156250923643,5.4743895819093105,5.264177120287024
3.6128315516282625,5.382962034566661,4.866998610756233
3.6442474781641603,5.273881252539463,4.504782303492992
3.6756634047000585,5.152201458794576,4.174914091109903
3.7070793312359562,5.021933545322766,3.874663653751949
